*.uuid,*.event,*.properties.$app_build,*.properties.$app_name,*.properties.$app_namespace,*.properties.$app_version,*.properties.$device_manufacturer,*.properties.$device_name,*.properties.$device_type,*.properties.$geoip_disable,*.properties.$is_emulator,*.properties.$is_identified,*.properties.$lib,*.properties.$lib_version,*.properties.$locale,*.properties.$os_name,*.properties.$os_version,*.properties.$process_person_profile,*.properties.$screen_height,*.properties.$screen_width,*.properties.$sent_at,*.properties.$session_id,*.properties.$timezone,*.properties.conflicts,*.properties.duration_ms,*.properties.outcome,*.properties.pulled,*.properties.pushed,*.properties.reason,*.properties.$os,*.properties.$has_recording,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,*.person_mode,event,person_display_name -- Person.display_name,person_display_name -- Person.id,person_display_name -- Person.distinct_id,"coalesce(properties.$current_url, properties.$screen_name) -- Url / Screen",properties.$lib,timestamp
01a06dee-d729-7133-b3b4-6a90f8e374b5,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:39:31.707Z,01a06dee-ccff-73be-b28b-c84b3088776b,Europe/Kiev,0,921,synced,0,0,foreground,Android,False,2026-09-04 19:39:22.148000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:39:29.769000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:39:22.148000+00:00
01a06dee-d35d-7e5c-9088-a3e880c42c3e,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:39:31.707Z,01a06dee-ccff-73be-b28b-c84b3088776b,Europe/Kiev,0,1963,synced,1,0,foreground,Android,False,2026-09-04 19:39:21.176000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:39:29.768000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:39:21.176000+00:00
01a06ddc-76b2-7609-94c4-a8a7d3f266be,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:19:29.996Z,01a06dd7-1997-7aa4-acfb-1fde77bfcfef,Europe/Kiev,0,995,synced,0,0,poll,Android,False,2026-09-04 19:19:17.503000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:19:27.861000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:19:17.503000+00:00
01a06ddb-9b2d-74c4-bf3f-a789359a5c28,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:18:28.978Z,01a06dd7-1997-7aa4-acfb-1fde77bfcfef,Europe/Kiev,0,2913,synced,0,0,foreground,Android,False,2026-09-04 19:18:21.662000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:18:27.173000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:18:21.662000+00:00
01a06ddb-8fb5-7cb1-b333-fa575ef00f9e,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:18:28.978Z,01a06dd7-1997-7aa4-acfb-1fde77bfcfef,Europe/Kiev,0,1924,synced,0,0,foreground,Android,False,2026-09-04 19:18:18.726000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:18:27.168000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:18:18.726000+00:00
01a06dd8-0879-72f2-80c4-7357670a66ff,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:14:39.635Z,01a06dd7-1997-7aa4-acfb-1fde77bfcfef,Europe/Kiev,0,1396,synced,1,0,poll,Android,False,2026-09-04 19:14:27.145000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:14:37.285000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:14:27.145000+00:00
01a06dd7-26b5-7ce7-9d9e-cbfd191af34c,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:13:38.483Z,01a06dd7-1997-7aa4-acfb-1fde77bfcfef,Europe/Kiev,0,891,synced,0,0,write,Android,False,2026-09-04 19:13:29.538000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:13:37.293000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:13:29.538000+00:00
01a06dd7-22f4-769f-8f4b-260bcbe829c1,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T19:13:38.483Z,01a06dd7-1997-7aa4-acfb-1fde77bfcfef,Europe/Kiev,0,1686,synced,9,19,foreground,Android,False,2026-09-04 19:13:28.577000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 19:13:37.282000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 19:13:28.577000+00:00
01a06b69-c471-73c5-96fc-abe56c7d31b6,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T07:54:58.827Z,01a06b63-5619-716c-b5fc-53b52c1c4a60,Europe/Kiev,0,1670,synced,0,0,poll,Android,False,2026-09-04 07:54:47.089000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 07:54:58.554000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 07:54:47.089000+00:00
01a06b68-dac5-7df5-a786-f90af6b3296e,sync_completed,1,Hourwell,com.hourwell.app,0.1.0,Google,Pixel 7a,Mobile,True,False,False,posthog-react-native,4.63.9,en-US-u-mu-celsius,Android,17,False,914.2857142857144,411.42857142857144,2026-09-04T07:53:59.012Z,01a06b63-5619-716c-b5fc-53b52c1c4a60,Europe/Kiev,0,1826,synced,21,11,poll,Android,False,2026-09-04 07:53:47.234000+00:00,256687,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,2026-09-04 07:53:57.609000+00:00,propertyless,sync_completed,01a05e0c-9989-7658-8fe7-6bfa12a95f48,4c95ad21-dead-5b16-8980-961468cbcd87,01a05e0c-9989-7658-8fe7-6bfa12a95f48,,posthog-react-native,2026-09-04 07:53:47.234000+00:00
